query-number	Q0	document-id	rank	score	Exp
1	0	32668527	1	5.455828666687012	eval	
1	0	44900808	2	5.455828666687012	eval	
1	0	26944308	3	4.364663124084473	eval	
1	0	26944325	4	4.364663124084473	eval	
1	0	32418970	5	4.364663124084473	eval	
1	0	32419373	6	4.364663124084473	eval	
1	0	17462052	7	4.364663124084473	eval	
1	0	17462452	8	4.364663124084473	eval	
1	0	15935621	9	4.364663124084473	eval	
1	0	23841737	10	4.364663124084473	eval	
1	0	23916005	11	4.364663124084473	eval	
1	0	23916006	12	4.364663124084473	eval	
1	0	42957274	13	4.364663124084473	eval	
1	0	4629922	14	4.364663124084473	eval	
1	0	4630321	15	4.364663124084473	eval	
1	0	38483118	16	4.364663124084473	eval	
1	0	49240334	17	4.364663124084473	eval	
1	0	49240746	18	4.364663124084473	eval	
1	0	52975816	19	4.364663124084473	eval	
1	0	52976215	20	4.364663124084473	eval	
1	0	54949088	21	4.364663124084473	eval	
1	0	54949493	22	4.364663124084473	eval	
1	0	57980459	23	4.364663124084473	eval	
1	0	7135105	24	4.364663124084473	eval	
1	0	6356887	25	4.364663124084473	eval	
1	0	33491512	26	3.9655799865722656	eval	
1	0	5882091	27	3.9655799865722656	eval	
1	0	8806304	28	3.9373409748077393	eval	
1	0	23881146	29	3.857853412628174	eval	
1	0	3437762	30	3.819080114364624	eval	
1	0	35730190	31	3.819080114364624	eval	
1	0	24843651	32	3.819080114364624	eval	
1	0	17504618	33	3.819080114364624	eval	
1	0	11158687	34	3.819080114364624	eval	
1	0	23841732	35	3.819080114364624	eval	
1	0	14665372	36	3.819080114364624	eval	
1	0	39015507	37	3.819080114364624	eval	
1	0	42720868	38	3.819080114364624	eval	
1	0	43162467	39	3.819080114364624	eval	
1	0	43162867	40	3.819080114364624	eval	
1	0	42844127	41	3.819080114364624	eval	
1	0	44281204	42	3.819080114364624	eval	
1	0	46906708	43	3.819080114364624	eval	
1	0	38305043	44	3.819080114364624	eval	
1	0	59461036	45	3.819080114364624	eval	
1	0	28965117	46	3.819080114364624	eval	
1	0	57210746	47	3.819080114364624	eval	
1	0	5731454	48	3.819080114364624	eval	
1	0	7366084	49	3.819080114364624	eval	
1	0	40968831	50	3.819080114364624	eval	
1	0	50929550	51	3.819080114364624	eval	
1	0	55776464	52	3.819080114364624	eval	
1	0	17243163	53	3.304649829864502	eval	
1	0	41331818	54	3.304649829864502	eval	
1	0	4595197	55	3.304649829864502	eval	
1	0	55726454	56	3.304649829864502	eval	
1	0	31014792	57	3.29622220993042	eval	
1	0	8823463	58	3.2811174392700195	eval	
1	0	8823464	59	3.2811174392700195	eval	
1	0	10853965	60	3.2734971046447754	eval	
1	0	11341891	61	3.2734971046447754	eval	
1	0	20629715	62	3.2734971046447754	eval	
1	0	20629716	63	3.2734971046447754	eval	
1	0	20630117	64	3.2734971046447754	eval	
1	0	20630118	65	3.2734971046447754	eval	
1	0	19997294	66	3.2734971046447754	eval	
1	0	31974750	67	3.2734971046447754	eval	
1	0	31975180	68	3.2734971046447754	eval	
1	0	34414586	69	3.2734971046447754	eval	
1	0	35590193	70	3.2734971046447754	eval	
1	0	2595280	71	3.2734971046447754	eval	
1	0	2595480	72	3.2734971046447754	eval	
1	0	26315420	73	3.2734971046447754	eval	
1	0	26315823	74	3.2734971046447754	eval	
1	0	26316223	75	3.2734971046447754	eval	
1	0	33863878	76	3.2734971046447754	eval	
1	0	33407954	77	3.2734971046447754	eval	
1	0	17243033	78	3.2734971046447754	eval	
1	0	17040823	79	3.2734971046447754	eval	
1	0	1153670	80	3.2734971046447754	eval	
1	0	12781245	81	3.2734971046447754	eval	
1	0	13221172	82	3.2734971046447754	eval	
1	0	13441389	83	3.2734971046447754	eval	
1	0	13567447	84	3.2734971046447754	eval	
1	0	21557297	85	3.2734971046447754	eval	
1	0	21781861	86	3.2734971046447754	eval	
1	0	21529045	87	3.2734971046447754	eval	
1	0	24253032	88	3.2734971046447754	eval	
1	0	23841728	89	3.2734971046447754	eval	
1	0	2398044	90	3.2734971046447754	eval	
1	0	14920843	91	3.2734971046447754	eval	
1	0	14802765	92	3.2734971046447754	eval	
1	0	14496502	93	3.2734971046447754	eval	
1	0	14619498	94	3.2734971046447754	eval	
1	0	18368348	95	3.2734971046447754	eval	
1	0	18175709	96	3.2734971046447754	eval	
1	0	1892046	97	3.2734971046447754	eval	
1	0	44796148	98	3.2734971046447754	eval	
1	0	38893242	99	3.2734971046447754	eval	
1	0	39028653	100	3.2734971046447754	eval	
2	0	38417062	1	4.551658630371094	eval	
2	0	45979829	2	4.551658630371094	eval	
2	0	45979842	3	4.551658630371094	eval	
2	0	45979848	4	4.551658630371094	eval	
2	0	45979943	5	4.551658630371094	eval	
2	0	45979956	6	4.551658630371094	eval	
2	0	45979962	7	4.551658630371094	eval	
2	0	53050516	8	4.551658630371094	eval	
2	0	1030223	9	3.982701301574707	eval	
2	0	20225346	10	3.982701301574707	eval	
2	0	33440165	11	3.982701301574707	eval	
2	0	11716118	12	3.982701301574707	eval	
2	0	27582890	13	3.982701301574707	eval	
2	0	19742897	14	3.4137439727783203	eval	
2	0	19743296	15	3.4137439727783203	eval	
2	0	32548344	16	3.4137439727783203	eval	
2	0	32548753	17	3.4137439727783203	eval	
2	0	35235564	18	3.4137439727783203	eval	
2	0	12789572	19	3.4137439727783203	eval	
2	0	23894817	20	3.4137439727783203	eval	
2	0	15224384	21	3.4137439727783203	eval	
2	0	22747111	22	3.4137439727783203	eval	
2	0	23327937	23	3.4137439727783203	eval	
2	0	14521320	24	3.4137439727783203	eval	
2	0	44380256	25	3.4137439727783203	eval	
2	0	37664190	26	3.4137439727783203	eval	
2	0	37664590	27	3.4137439727783203	eval	
2	0	42068791	28	3.4137439727783203	eval	
2	0	42069145	29	3.4137439727783203	eval	
2	0	40272207	30	3.4137439727783203	eval	
2	0	46437298	31	3.4137439727783203	eval	
2	0	46437697	32	3.4137439727783203	eval	
2	0	45979831	33	3.4137439727783203	eval	
2	0	45979945	34	3.4137439727783203	eval	
2	0	5932604	35	3.4137439727783203	eval	
2	0	9013961	36	3.4137439727783203	eval	
