query-number Q0 document-id rank score Exp
1 0 57660004 1 3.5255184173583984 eval 
1 0 57660423 2 3.5255184173583984 eval 
1 0 10329618 3 2.8204147815704346 eval 
1 0 3004651 4 2.8204147815704346 eval 
1 0 17015142 5 2.8204147815704346 eval 
1 0 15788337 6 2.8204147815704346 eval 
1 0 52322387 7 2.8204147815704346 eval 
1 0 52322787 8 2.8204147815704346 eval 
1 0 5870381 9 2.8204147815704346 eval 
1 0 28599166 10 2.8204147815704346 eval 
1 0 54650037 11 2.8204147815704346 eval 
1 0 54650437 12 2.8204147815704346 eval 
1 0 21086264 13 2.467862844467163 eval 
1 0 24499653 14 2.467862844467163 eval 
1 0 14601516 15 2.467862844467163 eval 
1 0 18889436 16 2.467862844467163 eval 
1 0 31309522 17 2.467862844467163 eval 
1 0 6488677 18 2.467862844467163 eval 
1 0 55417337 19 2.467862844467163 eval 
1 0 10070214 20 2.1153111457824707 eval 
1 0 19422479 21 2.1153111457824707 eval 
1 0 17125521 22 2.1153111457824707 eval 
1 0 34407875 23 2.1153111457824707 eval 
1 0 34428042 24 2.1153111457824707 eval 
1 0 24818313 25 2.1153111457824707 eval 
1 0 1696487 26 2.1153111457824707 eval 
1 0 1696689 27 2.1153111457824707 eval 
1 0 13370966 28 2.1153111457824707 eval 
1 0 39095766 29 2.1153111457824707 eval 
1 0 41870720 30 2.1153111457824707 eval 
1 0 41871120 31 2.1153111457824707 eval 
1 0 4719967 32 2.1153111457824707 eval 
1 0 28963493 33 2.1153111457824707 eval 
1 0 51330368 34 2.1153111457824707 eval 
1 0 51330811 35 2.1153111457824707 eval 
1 0 6520392 36 2.1153111457824707 eval 
1 0 9153781 37 2.1153111457824707 eval 
1 0 39427061 38 2.1153111457824707 eval 
1 0 9897191 39 2.1153111457824707 eval 
1 0 9897642 40 2.1153111457824707 eval 
1 0 21086267 41 1.99433434009552 eval 
1 0 42332127 42 1.99433434009552 eval 
1 0 42332560 43 1.99433434009552 eval 
1 0 10421880 44 1.7627592086791992 eval 
1 0 10958295 45 1.7627592086791992 eval 
1 0 19851717 46 1.7627592086791992 eval 
1 0 19852148 47 1.7627592086791992 eval 
1 0 19486622 48 1.7627592086791992 eval 
1 0 19544206 49 1.7627592086791992 eval 
1 0 19544477 50 1.7627592086791992 eval 
1 0 19569952 51 1.7627592086791992 eval 
1 0 19227015 52 1.7627592086791992 eval 
1 0 19443089 53 1.7627592086791992 eval 
1 0 34562341 54 1.7627592086791992 eval 
1 0 30095471 55 1.7627592086791992 eval 
1 0 26041271 56 1.7627592086791992 eval 
1 0 26041671 57 1.7627592086791992 eval 
1 0 26042071 58 1.7627592086791992 eval 
1 0 24639769 59 1.7627592086791992 eval 
1 0 3358901 60 1.7627592086791992 eval 
1 0 11203512 61 1.7627592086791992 eval 
1 0 13567805 62 1.7627592086791992 eval 
1 0 21558443 63 1.7627592086791992 eval 
1 0 21406820 64 1.7627592086791992 eval 
1 0 22249123 65 1.7627592086791992 eval 
1 0 15667336 66 1.7627592086791992 eval 
1 0 14656927 67 1.7627592086791992 eval 
